 my boss is bullying me...,bullying me
 some shameless plugging for the best rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth
 soooo high,Soooo high
" as much as i love to be hopeful, i reckon the chances are minimal =p i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"
 my sharpie is running dangerously low on ink,DANGERously
 lost my voice.,lost
 sunburned,"Uh oh, I am sunburned"
 miss,onna
" oh marly, i`m so sorry!! i hope you find her soon!!","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
 see wat i mean bout foll0w friidays... it`s called lose f0llowers friday... smh,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
" fun,","the free fillin` app on my ipod is fun, im addicted"
no internet access to twit,.no internet
 not working too,Power back up not working too
 unhappy,well so much for being unhappy for about 10 minute
 that`s very funny.,funny.
" ahhh, i slept through the game. i`m gonna try my best to watch tomorrow though. i hope we play army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
" thats it, its the end. tears for fears vs eric prydz, dj hero","Thats it, its the end. Tears for Fears"
 miss ny,miss
" car not happy, big big dent in boot! hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
 im an avid fan of **** magazine and i love your magazines,avid fan of
 mayday?!,MAYDAY?!
" ratt rocked nashville tonite..one thing sucked, no encore! like in the 80`s they still have a fun show. pearcy has that hott bad boy look","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
 the girl in the hair salon asked me 'shall i trim your eyebrows!' how old do i feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
 egh blah and boooooooooooo i dunno wanna go to work hangovers suckkkkkk im a drunk mess!,SUCKKKKKK
 :visiting my friendster and facebook,:visiting my friendster and facebook
 then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter
 it is ****...u have dissappointed,it is ****...u have dissappointed me that past few days
 funny,romance zero is funny
 hurts now,hurts
 torn,Torn ace of hearts
